GO label	GO id
translation	GO:0006412
proteinâˆ’containing complex assembly	GO:0065003
protein localization to endoplasmic reticulum	GO:0070972
RNA localization	GO:0006403
viral gene expression	GO:0019080
RNA splicing	GO:0008380
cellular response to stress	GO:0033554
biological process involved in interspecies interaction between organisms	GO:0044419
posttranscriptional regulation of gene expression	GO:0010608
viral gene expression	GO:0019080
negative regulation of biosynthetic process	GO:0009890
ribonucleoprotein complex	GO:1990904
cytosolic ribosome	GO:0022626
spliceosomal complex	GO:0005681
mRNA binding	GO:0003729